x,y,h,w,reward,aspect-ratio,overlap,outrange,area_diff
200,150,45,44,-32272.0,-512.0,-31680,0,-80.0
200,150,46,44,-32640.0,-160.0,-32384,0,-96.0
200,150,47,44,-33552.0,-192.0,-33088,0,-272.0
200,151,47,44,-33552.0,-192.0,-33088,0,-272.0
200,151,48,44,-34432.0,-192.0,-33792,0,-448.0
200,151,49,44,-35312.0,-192.0,-34496,0,-624.0
200,151,50,44,-36544.0,-544.0,-35200,0,-800.0
200,151,51,44,-37776.0,-896.0,-35904,0,-976.0
200,151,50,44,-36544.0,-544.0,-35200,0,-800.0
200,151,50,45,-38280.0,-1280.0,-36000,0,-1000.0
200,151,51,45,-39180.0,-1280.0,-36720,0,-1180.0
200,151,52,45,-39900.0,-1280.0,-37260,0,-1360.0
200,151,53,45,-40980.0,-1640.0,-37800,0,-1540.0
199,151,53,45,-40890.0,-1640.0,-37710,0,-1540.0
199,151,54,45,-41880.0,-2000.0,-38160,0,-1720.0
199,151,55,45,-42600.0,-2000.0,-38700,0,-1900.0
199,151,56,45,-43320.0,-2000.0,-39240,0,-2080.0
199,151,57,45,-44040.0,-2000.0,-39780,0,-2260.0
199,151,58,45,-45120.0,-2360.0,-40320,0,-2440.0
199,151,59,45,-46200.0,-2720.0,-40860,0,-2620.0
199,151,60,45,-46920.0,-2720.0,-41400,0,-2800.0
199,151,61,45,-47640.0,-2720.0,-41940,0,-2980.0
199,151,62,45,-48720.0,-3080.0,-42480,0,-3160.0
199,151,63,45,-49440.0,-3080.0,-43020,0,-3340.0
199,151,64,45,-50520.0,-3440.0,-43560,0,-3520.0
199,151,65,45,-51240.0,-3440.0,-44100,0,-3700.0
199,151,66,45,-51960.0,-3440.0,-44640,0,-3880.0
199,150,66,45,-51960.0,-3440.0,-44640,0,-3880.0
198,150,66,45,-51960.0,-3440.0,-44640,0,-3880.0
197,150,66,45,-51960.0,-3440.0,-44640,0,-3880.0
196,150,66,45,-51960.0,-3440.0,-44640,0,-3880.0
195,150,66,45,-51870.0,-3440.0,-44550,0,-3880.0
194,150,66,45,-51690.0,-3440.0,-44370,0,-3880.0
193,150,66,45,-51690.0,-3440.0,-44370,0,-3880.0
192,150,66,45,-51510.0,-3440.0,-44190,0,-3880.0
191,150,66,45,-51420.0,-3440.0,-44100,0,-3880.0
190,150,66,45,-51240.0,-3440.0,-43920,0,-3880.0
189,150,66,45,-51060.0,-3440.0,-43740,0,-3880.0
188,150,66,45,-50970.0,-3440.0,-43650,0,-3880.0
187,150,66,45,-50790.0,-3440.0,-43470,0,-3880.0
186,150,66,45,-50610.0,-3440.0,-43290,0,-3880.0
185,150,66,45,-50430.0,-3440.0,-43110,0,-3880.0
185,149,66,45,-50250.0,-3440.0,-42930,0,-3880.0
185,148,66,45,-50160.0,-3440.0,-42840,0,-3880.0
185,147,66,45,-49980.0,-3440.0,-42660,0,-3880.0
185,146,66,45,-49800.0,-3440.0,-42480,0,-3880.0
186,146,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,145,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,144,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,143,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,142,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,141,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,140,66,45,-49710.0,-3440.0,-42390,0,-3880.0
186,139,66,45,-49710.0,-3440.0,-42390,0,-3880.0
187,139,66,45,-49710.0,-3440.0,-42390,0,-3880.0
188,139,66,45,-49800.0,-3440.0,-42480,0,-3880.0
189,139,66,45,-49890.0,-3440.0,-42570,0,-3880.0
190,139,66,45,-49980.0,-3440.0,-42660,0,-3880.0
191,139,66,45,-50070.0,-3440.0,-42750,0,-3880.0
192,139,66,45,-50160.0,-3440.0,-42840,0,-3880.0
193,139,66,45,-50250.0,-3440.0,-42930,0,-3880.0
194,139,66,45,-50250.0,-3440.0,-42930,0,-3880.0
195,139,66,45,-50340.0,-3440.0,-43020,0,-3880.0
196,139,66,45,-50430.0,-3440.0,-43110,0,-3880.0
196,139,67,45,-51600.0,-3800.0,-43740,0,-4060.0
197,139,67,45,-51690.0,-3800.0,-43830,0,-4060.0
198,139,67,45,-51690.0,-3800.0,-43830,0,-4060.0
199,139,67,45,-51690.0,-3800.0,-43830,0,-4060.0
200,139,67,45,-51690.0,-3800.0,-43830,0,-4060.0
201,139,67,45,-51600.0,-3800.0,-43740,0,-4060.0
202,139,67,45,-51600.0,-3800.0,-43740,0,-4060.0
202,140,67,45,-51600.0,-3800.0,-43740,0,-4060.0
202,139,67,45,-51780.0,-3800.0,-43920,0,-4060.0
202,140,67,45,-51960.0,-3800.0,-44100,0,-4060.0
202,141,67,45,-52050.0,-3800.0,-44190,0,-4060.0
202,142,67,45,-51960.0,-3800.0,-44100,0,-4060.0
