x,y,h,w,reward,aspect-ratio,overlap,outrange,area_diff
200,150,78,79,-74236.0,-672.0,-72916,0,-648.0
200,150,77,79,-72664.0,-48.0,-72284,0,-332.0
200,150,78,79,-74236.0,-672.0,-72916,0,-648.0
200,150,78,80,-75796.0,-1296.0,-73540,0,-960.0
200,150,78,81,-77356.0,-1920.0,-74164,0,-1272.0
200,150,78,82,-78292.0,-1920.0,-74788,0,-1584.0
200,150,78,83,-79228.0,-1920.0,-75412,0,-1896.0
200,150,78,84,-80788.0,-2544.0,-76036,0,-2208.0
200,150,78,85,-82348.0,-3168.0,-76660,0,-2520.0
200,150,78,86,-83108.0,-3168.0,-77108,0,-2832.0
200,150,78,87,-84044.0,-3168.0,-77732,0,-3144.0
200,150,78,88,-85604.0,-3792.0,-78356,0,-3456.0
200,150,78,89,-87164.0,-4416.0,-78980,0,-3768.0
200,150,78,90,-88100.0,-4416.0,-79604,0,-4080.0
201,150,78,90,-87944.0,-4416.0,-79448,0,-4080.0
201,150,78,91,-88724.0,-4416.0,-79916,0,-4392.0
201,150,78,92,-89348.0,-4416.0,-80228,0,-4704.0
201,150,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,150,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,149,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,149,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,148,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,148,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,148,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,148,78,92,-89172.0,-4416.0,-80052,0,-4704.0
201,148,79,92,-92204.0,-6352.0,-80780,0,-5072.0
201,147,79,92,-92204.0,-6352.0,-80780,0,-5072.0
201,148,79,92,-92204.0,-6352.0,-80780,0,-5072.0
201,149,79,92,-92520.0,-6352.0,-81096,0,-5072.0
201,150,79,92,-92678.0,-6352.0,-81254,0,-5072.0
201,151,79,92,-92678.0,-6352.0,-81254,0,-5072.0
201,152,79,92,-92836.0,-6352.0,-81412,0,-5072.0
201,153,79,92,-92678.0,-6352.0,-81254,0,-5072.0
201,154,79,92,-92520.0,-6352.0,-81096,0,-5072.0
201,154,79,93,-93152.0,-6352.0,-81412,0,-5388.0
201,154,79,94,-93784.0,-6352.0,-81728,0,-5704.0
201,154,79,95,-94100.0,-6352.0,-81728,0,-6020.0
201,154,79,96,-95048.0,-6984.0,-81728,0,-6336.0
201,154,79,97,-95996.0,-7616.0,-81728,0,-6652.0
201,154,79,98,-96154.0,-7616.0,-81570,0,-6968.0
201,154,79,99,-96628.0,-7616.0,-81728,0,-7284.0
201,154,79,100,-97576.0,-8248.0,-81728,0,-7600.0
201,154,79,101,-98524.0,-8880.0,-81728,0,-7916.0
