x,y,h,w,reward,aspect-ratio,overlap,outrange,area_diff
200,150,91,90,-81652.0,-800.0,-80892,0,-760.0
200,150,92,90,-82548.0,-1520.0,-81428,0,-1120.0
200,150,93,90,-83444.0,-2240.0,-81964,0,-1480.0
200,150,94,90,-84340.0,-2240.0,-82500,0,-1840.0
200,150,95,90,-85060.0,-2240.0,-82860,0,-2200.0
200,151,95,90,-85252.0,-2240.0,-83052,0,-2200.0
200,150,95,90,-85432.0,-2240.0,-83232,0,-2200.0
200,151,95,90,-85236.0,-2240.0,-83036,0,-2200.0
200,150,95,90,-85412.0,-2240.0,-83212,0,-2200.0
200,151,95,90,-85588.0,-2240.0,-83388,0,-2200.0
200,152,95,90,-85588.0,-2240.0,-83388,0,-2200.0
201,152,95,90,-85792.0,-2240.0,-83592,0,-2200.0
200,152,95,90,-85792.0,-2240.0,-83592,0,-2200.0
200,153,95,90,-85660.0,-2240.0,-83460,0,-2200.0
200,154,95,90,-85506.0,-2240.0,-83306,0,-2200.0
200,155,95,90,-85198.0,-2240.0,-82998,0,-2200.0
200,156,95,90,-84890.0,-2240.0,-82690,0,-2200.0
200,157,95,90,-84582.0,-2240.0,-82382,0,-2200.0
200,158,95,90,-84274.0,-2240.0,-82074,0,-2200.0
199,158,95,90,-84300.0,-2240.0,-82100,0,-2200.0
198,158,95,90,-84008.0,-2240.0,-81808,0,-2200.0
198,159,95,90,-83704.0,-2240.0,-81504,0,-2200.0
198,159,95,90,-83884.0,-2240.0,-81684,0,-2200.0
198,160,95,90,-83580.0,-2240.0,-81380,0,-2200.0
198,161,95,90,-83276.0,-2240.0,-81076,0,-2200.0
198,162,95,90,-82792.0,-2240.0,-80592,0,-2200.0
198,163,95,90,-82308.0,-2240.0,-80108,0,-2200.0
198,164,95,90,-81698.0,-2240.0,-79498,0,-2200.0
198,165,95,90,-81340.0,-2240.0,-79140,0,-2200.0
198,166,95,90,-80872.0,-2240.0,-78672,0,-2200.0
198,167,95,90,-80518.0,-2240.0,-78318,0,-2200.0
198,168,95,90,-80038.0,-2240.0,-77838,0,-2200.0
198,169,95,90,-79684.0,-2240.0,-77484,0,-2200.0
198,170,95,90,-79204.0,-2240.0,-77004,0,-2200.0
198,171,95,90,-79064.0,-2240.0,-76864,0,-2200.0
198,172,95,90,-78580.0,-2240.0,-76380,0,-2200.0
198,173,95,90,-78374.0,-2240.0,-76174,0,-2200.0
198,173,96,90,-79180.0,-2960.0,-76620,0,-2560.0
198,174,96,90,-78476.0,-2960.0,-75916,0,-2560.0
198,175,96,90,-77502.0,-2960.0,-74942,0,-2560.0
198,176,96,90,-76618.0,-2960.0,-74058,0,-2560.0
198,177,96,90,-76004.0,-2960.0,-73444,0,-2560.0
198,178,96,90,-75390.0,-2960.0,-72830,0,-2560.0
198,179,96,90,-74776.0,-2960.0,-72216,0,-2560.0
198,180,96,90,-74162.0,-2960.0,-71602,0,-2560.0
198,181,96,90,-73734.0,-2960.0,-71174,0,-2560.0
198,182,96,90,-73000.0,-2960.0,-70440,0,-2560.0
198,183,96,90,-72268.0,-2960.0,-69708,0,-2560.0
198,184,96,90,-71538.0,-2960.0,-68978,0,-2560.0
198,185,96,90,-70810.0,-2960.0,-68250,0,-2560.0
198,186,96,90,-70084.0,-2960.0,-67524,0,-2560.0
198,187,96,90,-69360.0,-2960.0,-66800,0,-2560.0
198,188,96,90,-68638.0,-2960.0,-66078,0,-2560.0
198,189,96,90,-67918.0,-2960.0,-65358,0,-2560.0
198,190,96,90,-67200.0,-2960.0,-64640,0,-2560.0
198,191,96,90,-66638.0,-2960.0,-64078,0,-2560.0
198,192,96,90,-66078.0,-2960.0,-63518,0,-2560.0
198,193,96,90,-65366.0,-2960.0,-62806,0,-2560.0
198,194,96,90,-64656.0,-2960.0,-62096,0,-2560.0
198,195,96,90,-63948.0,-2960.0,-61388,0,-2560.0
198,196,96,90,-63242.0,-2960.0,-60682,0,-2560.0
198,197,96,90,-62538.0,-2960.0,-59978,0,-2560.0
198,198,96,90,-61836.0,-2960.0,-59276,0,-2560.0
198,199,96,90,-61136.0,-2960.0,-58576,0,-2560.0
198,199,96,90,-60965.0,-2960.0,-58405,0,-2560.0
198,200,96,90,-60268.0,-2960.0,-57708,0,-2560.0
198,201,96,90,-59573.0,-2960.0,-57013,0,-2560.0
198,202,96,90,-58880.0,-2960.0,-56320,0,-2560.0
198,203,96,90,-58189.0,-2960.0,-55629,0,-2560.0
198,204,96,90,-57118.0,-2960.0,-54558,0,-2560.0
198,205,96,90,-56431.0,-2960.0,-53691,-180,-2560.0
200,151,90,90,-80932.0,-800.0,-80532,0,-400.0
200,152,90,90,-81108.0,-800.0,-80708,0,-400.0
200,153,90,90,-81284.0,-800.0,-80884,0,-400.0
200,154,90,90,-81460.0,-800.0,-81060,0,-400.0
200,155,90,90,-81636.0,-800.0,-81236,0,-400.0
200,156,90,90,-81812.0,-800.0,-81412,0,-400.0
200,157,90,90,-81676.0,-800.0,-81276,0,-400.0
200,158,90,90,-81540.0,-800.0,-81140,0,-400.0
200,159,90,90,-81404.0,-800.0,-81004,0,-400.0
200,158,90,90,-81736.0,-800.0,-81336,0,-400.0
200,159,90,90,-81600.0,-800.0,-81200,0,-400.0
200,160,90,90,-81464.0,-800.0,-81064,0,-400.0
200,161,90,90,-80796.0,-800.0,-80396,0,-400.0
200,162,90,90,-80556.0,-800.0,-80156,0,-400.0
200,163,90,90,-80240.0,-800.0,-79840,0,-400.0
200,164,90,90,-80336.0,-800.0,-79936,0,-400.0
200,165,90,90,-79924.0,-800.0,-79524,0,-400.0
200,166,90,90,-79608.0,-800.0,-79208,0,-400.0
200,167,90,90,-79368.0,-800.0,-78968,0,-400.0
200,168,90,90,-79308.0,-800.0,-78908,0,-400.0
200,169,90,90,-79428.0,-800.0,-79028,0,-400.0
200,170,90,90,-79368.0,-800.0,-78968,0,-400.0
200,171,90,90,-79308.0,-800.0,-78908,0,-400.0
200,172,90,90,-79248.0,-800.0,-78848,0,-400.0
200,173,90,90,-78804.0,-800.0,-78404,0,-400.0
200,174,90,90,-78236.0,-800.0,-77836,0,-400.0
200,175,90,90,-78084.0,-800.0,-77684,0,-400.0
200,176,90,90,-77844.0,-800.0,-77444,0,-400.0
200,176,89,90,-77244.0,-80.0,-77204,0,-40.0
200,177,89,90,-77004.0,-80.0,-76964,0,-40.0
200,178,89,90,-76512.0,-80.0,-76472,0,-40.0
200,179,89,90,-75696.0,-80.0,-75656,0,-40.0
200,180,89,90,-74880.0,-80.0,-74840,0,-40.0
200,181,89,90,-74117.0,-80.0,-74077,0,-40.0
200,182,89,90,-73512.0,-80.0,-73472,0,-40.0
200,183,89,90,-72753.0,-80.0,-72713,0,-40.0
200,184,89,90,-71996.0,-80.0,-71956,0,-40.0
200,183,89,90,-72375.0,-80.0,-72335,0,-40.0
200,184,89,90,-71620.0,-80.0,-71580,0,-40.0
200,185,89,90,-70779.0,-80.0,-70739,0,-40.0
200,186,89,90,-70028.0,-80.0,-69988,0,-40.0
200,187,89,90,-69396.0,-80.0,-69356,0,-40.0
200,188,89,90,-68648.0,-80.0,-68608,0,-40.0
200,189,89,90,-68058.0,-80.0,-68018,0,-40.0
200,190,89,90,-67134.0,-80.0,-67094,0,-40.0
200,191,89,90,-66392.0,-80.0,-66352,0,-40.0
200,192,89,90,-65652.0,-80.0,-65612,0,-40.0
200,193,89,90,-64914.0,-80.0,-64874,0,-40.0
200,194,89,90,-64178.0,-80.0,-64138,0,-40.0
200,195,89,90,-63444.0,-80.0,-63404,0,-40.0
200,196,89,90,-62712.0,-80.0,-62672,0,-40.0
200,197,89,90,-61982.0,-80.0,-61942,0,-40.0
200,198,89,90,-61254.0,-80.0,-61214,0,-40.0
200,199,89,90,-60528.0,-80.0,-60488,0,-40.0
200,200,89,90,-59804.0,-80.0,-59764,0,-40.0
200,201,89,90,-59082.0,-80.0,-59042,0,-40.0
200,200,89,90,-59460.0,-80.0,-59420,0,-40.0
200,201,89,90,-58740.0,-80.0,-58700,0,-40.0
200,202,89,90,-58022.0,-80.0,-57982,0,-40.0
200,203,89,90,-57306.0,-80.0,-57266,0,-40.0
200,204,89,90,-56592.0,-80.0,-56552,0,-40.0
200,205,89,90,-55880.0,-80.0,-55840,0,-40.0
200,206,89,90,-55170.0,-80.0,-55130,0,-40.0
200,207,89,90,-54462.0,-80.0,-54422,0,-40.0
200,208,89,90,-53756.0,-80.0,-53716,0,-40.0
200,209,89,90,-53052.0,-80.0,-53012,0,-40.0
200,210,89,90,-52350.0,-80.0,-52310,0,-40.0
200,211,89,90,-51650.0,-80.0,-51610,0,-40.0
200,212,89,90,-51132.0,-80.0,-50912,-180,-40.0
200,151,90,90,-80932.0,-800.0,-80532,0,-400.0
200,151,91,90,-81828.0,-800.0,-81068,0,-760.0
200,152,91,90,-82004.0,-800.0,-81244,0,-760.0
200,153,91,90,-82180.0,-800.0,-81420,0,-760.0
200,154,91,90,-82356.0,-800.0,-81596,0,-760.0
200,155,91,90,-82532.0,-800.0,-81772,0,-760.0
200,156,91,90,-82708.0,-800.0,-81948,0,-760.0
200,157,91,90,-82728.0,-800.0,-81968,0,-760.0
200,158,91,90,-82592.0,-800.0,-81832,0,-760.0
200,159,91,90,-82456.0,-800.0,-81696,0,-760.0
200,160,91,90,-81964.0,-800.0,-81204,0,-760.0
200,161,91,90,-81648.0,-800.0,-80888,0,-760.0
200,162,91,90,-81332.0,-800.0,-80572,0,-760.0
200,163,91,90,-80664.0,-800.0,-79904,0,-760.0
200,164,91,90,-80348.0,-800.0,-79588,0,-760.0
200,165,91,90,-80212.0,-800.0,-79452,0,-760.0
200,166,91,90,-79896.0,-800.0,-79136,0,-760.0
200,167,91,90,-79580.0,-800.0,-78820,0,-760.0
200,168,91,90,-79516.0,-800.0,-78756,0,-760.0
200,169,91,90,-78944.0,-800.0,-78184,0,-760.0
200,170,91,90,-78628.0,-800.0,-77868,0,-760.0
200,171,91,90,-78312.0,-800.0,-77552,0,-760.0
200,172,91,90,-77996.0,-800.0,-77236,0,-760.0
200,173,91,90,-77680.0,-800.0,-76920,0,-760.0
200,174,91,90,-77612.0,-800.0,-76852,0,-760.0
200,175,91,90,-77208.0,-800.0,-76448,0,-760.0
200,176,91,90,-76716.0,-800.0,-75956,0,-760.0
200,177,91,90,-76100.0,-800.0,-75340,0,-760.0
200,178,91,90,-75484.0,-800.0,-74724,0,-760.0
200,179,91,90,-74868.0,-800.0,-74108,0,-760.0
200,180,91,90,-74252.0,-800.0,-73492,0,-760.0
200,181,91,90,-73511.0,-800.0,-72751,0,-760.0
200,182,91,90,-72772.0,-800.0,-72012,0,-760.0
200,183,91,90,-72035.0,-800.0,-71275,0,-760.0
200,184,91,90,-71300.0,-800.0,-70540,0,-760.0
200,185,91,90,-70567.0,-800.0,-69807,0,-760.0
200,184,91,90,-70920.0,-800.0,-70160,0,-760.0
200,185,91,90,-70189.0,-800.0,-69429,0,-760.0
200,186,91,90,-69460.0,-800.0,-68700,0,-760.0
200,187,91,90,-68968.0,-800.0,-68208,0,-760.0
200,188,91,90,-68241.0,-800.0,-67481,0,-760.0
200,189,91,90,-67516.0,-800.0,-66756,0,-760.0
200,190,91,90,-66793.0,-800.0,-66033,0,-760.0
200,190,91,90,-66790.0,-800.0,-66030,0,-760.0
200,191,91,90,-66070.0,-800.0,-65310,0,-760.0
200,192,91,90,-65352.0,-800.0,-64592,0,-760.0
200,193,91,90,-64636.0,-800.0,-63876,0,-760.0
200,194,91,90,-63922.0,-800.0,-63162,0,-760.0
200,195,91,90,-63210.0,-800.0,-62450,0,-760.0
200,196,91,90,-62656.0,-800.0,-61896,0,-760.0
200,197,91,90,-61948.0,-800.0,-61188,0,-760.0
200,198,91,90,-61242.0,-800.0,-60482,0,-760.0
200,198,91,90,-61067.0,-800.0,-60307,0,-760.0
200,199,91,90,-60364.0,-800.0,-59604,0,-760.0
200,198,91,90,-60717.0,-800.0,-59957,0,-760.0
200,199,91,90,-60232.0,-800.0,-59472,0,-760.0
199,199,91,90,-60159.0,-800.0,-59399,0,-760.0
199,200,91,90,-59458.0,-800.0,-58698,0,-760.0
199,201,91,90,-58759.0,-800.0,-57999,0,-760.0
199,202,91,90,-58062.0,-800.0,-57302,0,-760.0
199,203,91,90,-57367.0,-800.0,-56607,0,-760.0
199,204,91,90,-56875.0,-800.0,-56115,0,-760.0
199,205,91,90,-56182.0,-800.0,-55422,0,-760.0
199,206,91,90,-55401.0,-800.0,-54641,0,-760.0
199,207,91,90,-54868.0,-800.0,-54108,0,-760.0
199,208,91,90,-54181.0,-800.0,-53421,0,-760.0
199,209,91,90,-53496.0,-800.0,-52736,0,-760.0
199,210,91,90,-53092.0,-800.0,-52152,-180,-760.0
200,151,90,90,-80932.0,-800.0,-80532,0,-400.0
200,152,90,90,-81108.0,-800.0,-80708,0,-400.0
200,153,90,90,-81284.0,-800.0,-80884,0,-400.0
200,154,90,90,-81460.0,-800.0,-81060,0,-400.0
200,155,90,90,-81636.0,-800.0,-81236,0,-400.0
200,156,90,90,-81812.0,-800.0,-81412,0,-400.0
200,156,91,90,-82708.0,-800.0,-81948,0,-760.0
200,157,91,90,-82884.0,-800.0,-82124,0,-760.0
200,157,91,89,-82000.0,-80.0,-81604,0,-396.0
200,158,91,89,-81612.0,-80.0,-81216,0,-396.0
200,159,91,89,-81476.0,-80.0,-81080,0,-396.0
200,160,91,89,-81162.0,-80.0,-80766,0,-396.0
200,161,91,89,-80848.0,-80.0,-80452,0,-396.0
200,162,91,89,-80534.0,-80.0,-80138,0,-396.0
200,163,91,89,-80220.0,-80.0,-79824,0,-396.0
200,164,91,89,-80062.0,-80.0,-79666,0,-396.0
200,165,91,89,-79570.0,-80.0,-79174,0,-396.0
200,166,91,89,-79256.0,-80.0,-78860,0,-396.0
200,167,91,89,-79098.0,-80.0,-78702,0,-396.0
200,168,91,89,-78784.0,-80.0,-78388,0,-396.0
